id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG43216,"Zut, and Other Parisians","Carryl, Guy Wetmore",1873,1904,['en'],14,"{'Paris (France) -- Social life and customs -- Fiction', 'Short stories, American'}",Text
PG43217,La cartella N. 4,"Colombi, marchesa",1840,1920,['it'],3,"{'Short stories, Italian', 'Italian fiction'}",Text
PG43218,The Boy Patrol Around the Council Fire,"Ellis, Edward Sylvester",1840,1916,['en'],7,"{'Maine -- Juvenile fiction', 'Boy Scouts -- Juvenile fiction'}",Text
PG43219,"Raemaekers' Cartoon History of the War, Volume 3: The Third Twelve Months of War",,,,['en'],8,"{'World War, 1914-1918 -- Caricatures and cartoons', 'World War, 1914-1918 -- Humor'}",Text
PG43220,కత్తుల వంతెన,"Ramamohan Rao, Mahidhara",1909,2000,['te'],8,{'Fiction'},Text
PG43221,The Ceramic Art: A Compendium of The History and Manufacture of Pottery and Porcelain,"Young, Jennie J.",,,['en'],81,{'Pottery -- History'},Text
PG43222,"The Lyon in Mourning, Vol. 1: or a collection of speeches, letters, journals, etc. relative to the affairs of Prince Charles Edward Stuart","Forbes, Robert",1708,1775,['en'],23,"{'Jacobite Rebellion, 1745-1746 -- Sources', 'Charles Edward, Prince, grandson of James II, King of England, 1720-1788'}",Text
PG43223,"The World's Best Poetry, Volume 09: Of Tragedy: of Humour",,,,['en'],26,{'Poetry -- Collections'},Text
PG43224,"Poetry: A Magazine of Verse, Volume 01: October-March, 1912-13",Various,,,['en'],99,{'American poetry -- Periodicals'},Text
PG43225,"Blackwood's Edinburgh Magazine, Volume 64, No. 397, November 1848",Various,,,['en'],6,"{'Scotland -- Periodicals', 'England -- Periodicals'}",Text
PG43226,Dopo il divorzio,"Deledda, Grazia",1871,1936,['it'],106,"{'Italy -- Fiction', 'Villages -- Fiction', 'Divorce -- Fiction', 'Sardinia (Italy) -- Fiction'}",Text
PG43227,The Fundamentals of Bacteriology,"Morrey, Charles Bradfield",1869,,['en'],48,{'Bacteriology'},Text
PG43228,Lotgevallen van een jeugdigen natuuronderzoeker,"Biart, Lucien",1828,1897,['nl'],9,"{'Natural history -- Mexico', 'Mexico -- Description and travel'}",Text
PG43229,The Hawthorne: A Christmas and New Years Present,,,,['en'],7,"{""Children's stories""}",Text
PG43230,Johnny Longbow,"Snell, Roy J. (Roy Judson)",1878,1959,['en'],8,{'Arctic regions -- Juvenile fiction'},Text
